,missing_count,missing_percent
fr_dest,1623416,60.77055131680707
fr_outmode,1623416,60.77055131680707
fr_orig,1570722,58.798017209044296
fr_inmode,1570722,58.798017209044296
tmiles_2023,0,0.0
tons_2030_low,0,0.0
tmiles_2050,0,0.0
tmiles_2045,0,0.0
tmiles_2040,0,0.0
tmiles_2035,0,0.0
tmiles_2030,0,0.0
tmiles_2024,0,0.0
tmiles_2021,0,0.0
tmiles_2022,0,0.0
tons_2040_low,0,0.0
tmiles_2020,0,0.0
tmiles_2019,0,0.0
tmiles_2018,0,0.0
tmiles_2017,0,0.0
current_value_2024,0,0.0
tons_2035_low,0,0.0
tons_2050_low,0,0.0
tons_2045_low,0,0.0
value_2040_low,0,0.0
value_2045_high,0,0.0
value_2040_high,0,0.0
value_2035_high,0,0.0
value_2030_high,0,0.0
value_2050_low,0,0.0
value_2045_low,0,0.0
value_2035_low,0,0.0
current_value_2022,0,0.0
value_2030_low,0,0.0
tons_2050_high,0,0.0
tons_2045_high,0,0.0
tons_2040_high,0,0.0
tons_2035_high,0,0.0
tons_2030_high,0,0.0
current_value_2023,0,0.0
current_value_2020,0,0.0
current_value_2021,0,0.0
dms_orig,0,0.0
tons_2035,0,0.0
tons_2030,0,0.0
tons_2024,0,0.0
tons_2023,0,0.0
tons_2022,0,0.0
tons_2021,0,0.0
tons_2020,0,0.0
tons_2019,0,0.0
tons_2018,0,0.0
tons_2017,0,0.0
dist_band,0,0.0
trade_type,0,0.0
sctg2,0,0.0
dms_mode,0,0.0
dms_dest,0,0.0
tons_2040,0,0.0
tons_2045,0,0.0
tons_2050,0,0.0
value_2030,0,0.0
current_value_2019,0,0.0
current_value_2018,0,0.0
value_2050,0,0.0
value_2045,0,0.0
value_2040,0,0.0
value_2035,0,0.0
value_2024,0,0.0
value_2017,0,0.0
value_2023,0,0.0
value_2022,0,0.0
value_2021,0,0.0
value_2020,0,0.0
value_2019,0,0.0
value_2018,0,0.0
value_2050_high,0,0.0
