column,dtype,n_unique
value_2050_high,float64,887985
value_2050,float64,882539
value_2050_low,float64,872967
value_2045_high,float64,870043
value_2045,float64,865235
value_2045_low,float64,858220
value_2040_high,float64,852835
value_2040,float64,848191
current_value_2022,float64,844456
value_2040_low,float64,843237
current_value_2024,float64,836604
value_2035_high,float64,836034
value_2035,float64,831661
current_value_2023,float64,830438
value_2035_low,float64,828233
value_2030_high,float64,820315
current_value_2021,float64,819544
value_2030,float64,816063
value_2030_low,float64,814432
value_2022,float64,801451
current_value_2018,float64,801166
current_value_2019,float64,799717
value_2021,float64,795818
value_2018,float64,795438
value_2024,float64,792791
value_2019,float64,792763
current_value_2020,float64,789047
value_2023,float64,787659
value_2020,float64,783176
value_2017,float64,750474
tons_2050_high,float64,562573
tons_2050,float64,558320
tons_2050_low,float64,550824
tons_2045_high,float64,549056
tons_2045,float64,544827
tmiles_2050,float64,539723
tons_2045_low,float64,538996
tons_2040_high,float64,535304
tons_2040,float64,531852
tons_2040_low,float64,527393
tmiles_2045,float64,526887
tons_2035_high,float64,522165
tons_2035,float64,518907
tons_2035_low,float64,516374
tmiles_2040,float64,513598
tons_2030_high,float64,511152
tons_2022,float64,507277
tons_2030,float64,506289
tons_2030_low,float64,505050
tons_2018,float64,503368
tons_2021,float64,503269
tmiles_2035,float64,500750
tons_2024,float64,498313
tons_2019,float64,498021
tons_2023,float64,496629
tons_2020,float64,493749
tmiles_2022,float64,489231
tmiles_2030,float64,489024
tmiles_2018,float64,485349
tmiles_2021,float64,484980
tmiles_2024,float64,480609
tmiles_2019,float64,480242
tmiles_2023,float64,479324
tmiles_2020,float64,475759
tons_2017,float64,471386
tmiles_2017,float64,466235
dms_orig,int64,132
dms_dest,int64,132
sctg2,int64,42
dms_mode,int64,8
fr_dest,float64,8
dist_band,int64,8
fr_orig,float64,8
fr_inmode,float64,7
fr_outmode,float64,7
trade_type,int64,3
