,missing_count,missing_percent
fr_dest,663425,59.761126644855366
fr_outmode,663425,59.761126644855366
fr_orig,658137,59.28478517792543
fr_inmode,658137,59.28478517792543
value_2002,0,0.0
tmiles_2007,0,0.0
tmiles_2002,0,0.0
tmiles_1997,0,0.0
current_value_2012,0,0.0
current_value_2007,0,0.0
current_value_2002,0,0.0
current_value_1997,0,0.0
value_2012,0,0.0
value_2007,0,0.0
tons_2012,0,0.0
value_1997,0,0.0
dms_origst,0,0.0
tons_2007,0,0.0
tons_2002,0,0.0
tons_1997,0,0.0
trade_type,0,0.0
sctg2,0,0.0
dms_mode,0,0.0
dms_destst,0,0.0
tmiles_2012,0,0.0
