column,dtype,n_unique
value_1997,float64,296281
value_2012,float64,291515
value_2002,float64,282202
value_2007,float64,275900
current_value_2002,float64,252207
current_value_1997,float64,239759
tmiles_1997,float64,238960
tmiles_2002,float64,223013
tmiles_2007,float64,216455
current_value_2007,float64,198994
tons_2002,float64,173166
current_value_2012,float64,165321
tons_2007,float64,161473
tons_1997,float64,142439
tons_2012,float64,105303
tmiles_2012,float64,101884
dms_origst,int64,51
dms_destst,int64,51
sctg2,int64,42
dms_mode,int64,8
fr_dest,float64,8
fr_orig,float64,8
fr_outmode,float64,7
fr_inmode,float64,7
trade_type,int64,3
